Number,Year,Crude Birth Rate,CBR,calves,total whales,
1,1986,0.13,0.122483955,36,274,0.131386861
2,1987,0.12,0.119467595,22,178,0.123595506
3,1988,0.13,0.116452752,21,164,0.12804878
4,1989,0.11,0.113439425,18,159,0.113207547
5,1990,0.15,0.110427613,14,94,0.14893617
6,1991,0.11,0.107417314,32,298,0.10738255
7,1992,0.12,0.104408527,40,324,0.12345679
8,1993,0.13,0.101401249,24,192,0.125
9,1994,0.08,0.09839548,31,379,0.081794195
10,1995,0.08,0.095391219,31,409,0.075794621
11,1996,0.06,0.092388462,24,379,0.063324538
12,1997,0.07,0.08938721,21,287,0.073170732
13,1998,0.08,0.08638746,31,402,0.077114428
14,1999,0.06,0.083389212,14,237,0.05907173
15,2000,0.04,0.080392462,11,272,0.040441176
16,2001,0.1,0.077397211,22,222,0.099099099
17,2002,0.08,0.074403456,25,298,0.083892617
18,2003,0.04,0.071411197,29,810,0.035802469
19,2004,0.08,0.06842043,70,925,0.075675676
20,2005,0.07,0.065431156,56,698,0.080229226
21,2006,0.05,0.062443373,17,421,0.040380048
22,2007,0.08,0.059457078,33,462,0.071428571
23,2008,0.06,0.056472271,27,573,0.047120419
24,2009,0.05,0.05348895,25,651,0.038402458
25,2010,0.08,0.050507114,28,410,0.068292683
26,2011,0.04,0.04752676,14,292,0.047945205
27,2012,0.08,0.044547889,17,296,0.057432432
28,2013,0.04,0.041570498,10,292,0.034246575
29,2014,0.09,0.038594585,16,228,0.070175439
30,2015,0.03,0.03562015,5,181,0.027624309
31,2016,0.01,0.03264719,4,339,0.01179941
32,2017,0.01,0.029675705,4,336,0.011904762
